attribute_id,code,label,type,required,scope,options
1043,s10_fontcolor_2,s10_fontcolor_2,select,0,store,"dark, light, grey, main"
1044,s10_fontcolor_3,s10_fontcolor_3,select,0,store,"dark, light, grey, main"
1045,s10_fontcolor_4,s10_fontcolor_4,select,0,store,"dark, light, grey, main"
1046,s11_fontcolor_1,s11_fontcolor_1,select,0,store,"dark, light, grey, main"
1047,s11_fontcolor_2,s11_fontcolor_2,select,0,store,"dark, light, grey, main"
1048,s11_fontcolor_3,s11_fontcolor_3,select,0,store,"dark, light, grey, main"
1049,s11_fontcolor_4,s11_fontcolor_4,select,0,store,"dark, light, grey, main"
1050,s12_fontcolor_1,s12_fontcolor_1,select,0,store,"dark, light, grey, main"
1051,s12_fontcolor_2,s12_fontcolor_2,select,0,store,"dark, light, grey, main"
1052,s12_fontcolor_3,s12_fontcolor_3,select,0,store,"dark, light, grey, main"
1053,s12_fontcolor_4,s12_fontcolor_4,select,0,store,"dark, light, grey, main"
1054,s13_fontcolor_1,s13_fontcolor_1,select,0,store,"dark, light, grey, main"
1055,s13_fontcolor_2,s13_fontcolor_2,select,0,store,"dark, light, grey, main"
1056,s13_fontcolor_3,s13_fontcolor_3,select,0,store,"dark, light, grey, main"
1057,s13_fontcolor_4,s13_fontcolor_4,select,0,store,"dark, light, grey, main"
1058,s14_fontcolor_1,s14_fontcolor_1,select,0,store,"dark, light, grey, main"
1059,s14_fontcolor_2,s14_fontcolor_2,select,0,store,"dark, light, grey, main"
1060,s14_fontcolor_3,s14_fontcolor_3,select,0,store,"dark, light, grey, main"
1061,s14_fontcolor_4,s14_fontcolor_4,select,0,store,"dark, light, grey, main"
1062,s15_fontcolor_1,s15_fontcolor_1,select,0,store,"dark, light, grey, main"
1063,s15_fontcolor_2,s15_fontcolor_2,select,0,store,"dark, light, grey, main"
1064,s15_fontcolor_3,s15_fontcolor_3,select,0,store,"dark, light, grey, main"
1065,s15_fontcolor_4,s15_fontcolor_4,select,0,store,"dark, light, grey, main"
1066,s1_url_1,s1_url_1,text,0,store,
1067,s1_url_2,s1_url_2,text,0,store,
1068,s1_url_3,s1_url_3,text,0,store,
1069,s1_url_4,s1_url_4,text,0,store,
